Time,P1(bar),P2(bar),T,P1a,P2a,p1b,p2b,CEFNI,,,,
55,77.34444444,5,316.1802336,324.2862665,0.615733417,317.4903939,0.570591935,20.13345882,,,,
56,77.31203704,6,293.8665969,324.2862665,0.615733417,317.3573651,0.736701183,15.87371402,,,,
57,77.27962963,6,293,324.2862665,0.615733417,317.2243363,0.738880101,16.10596708,,,,
58,77.25532407,8,376.6676655,324.2862665,0.615733417,317.1245647,0.766340869,15.73062989,,,,
59,77.23101852,8,450.4210977,324.2862665,0.615733417,317.024793,0.640857694,19.05207773,,,,
60,77.20671296,8,573.6084349,324.2862665,0.615733417,316.9250214,0.503228001,24.57000919,,,,
61,77.18240741,8,573.3017577,324.2862665,0.615733417,316.8252498,0.503497193,24.86401667,,,,
62,77.15462963,7,573.0695085,324.2862665,0.615733417,316.7112251,0.440738591,28.80551231,,,,
63,77.12222222,6,573.0231935,324.2862665,0.615733417,316.5781963,0.377806469,34.14948298,,,,
64,77.08333333,5,420.9240547,324.2862665,0.615733417,316.4185617,0.428604375,30.67940967,,,,
65,77.04444444,5,316.1502737,324.2862665,0.615733417,316.2589271,0.570646007,23.47648569,,,,
66,77.00555556,5,293.9930548,324.2862665,0.615733417,316.0992925,0.613653582,22.23436287,,,,
67,76.97314815,6,293,324.2862665,0.615733417,315.9662637,0.738880101,18.74511317,,,,
68,76.94074074,6,376.6433722,324.2862665,0.615733417,315.8332348,0.574792723,24.45505175,,,,
69,76.91643519,8,450.3691419,324.2862665,0.615733417,315.7334632,0.640931625,22.17277356,,,,
70,76.89212963,8,573.4855985,324.2862665,0.615733417,315.6336916,0.503335789,28.54133984,,,,
71,76.86782407,8,573.8369818,324.2862665,0.615733417,315.53392,0.503027576,28.86625803,,,,
72,76.84351852,8,573.6040497,324.2862665,0.615733417,315.4341484,0.503231848,29.16184632,,,,
73,76.81574074,7,573.4393189,324.2862665,0.615733417,315.3201237,0.440454359,33.71951668,,,,
74,76.78333333,6,420.3758567,324.2862665,0.615733417,315.1870948,0.514995964,29.23926371,,,,
75,76.74444444,5,316.8869233,324.2862665,0.615733417,315.0274603,0.569319458,26.88391588,,,,
76,76.70555556,5,293.3576906,324.2862665,0.615733417,314.8678257,0.614982655,25.29009543,,,,
77,76.66666667,5,293,324.2862665,0.615733417,314.7081911,0.615733417,25.66111112,,,,
78,76.63425926,6,376.7230865,324.2862665,0.615733417,314.5751622,0.574671097,27.85349461,,,,
79,76.60185185,6,450.9856374,324.2862665,0.615733417,314.4421334,0.480041606,33.77372461,,,,
80,76.5775463,8,573.7764503,324.2862665,0.615733417,314.3423618,0.503080644,32.53442407,,,,
81,76.55324074,8,573.9581901,324.2862665,0.615733417,314.2425902,0.502921347,32.85222453,,,,
82,76.52893519,8,573.2855218,324.2862665,0.615733417,314.1428186,0.503511453,33.12085737,,,,
83,76.50462963,8,573.3511687,324.2862665,0.615733417,314.0430469,0.503453802,33.43182025,,,,
84,76.47685185,7,420.7735897,324.2862665,0.615733417,313.9290222,0.600260696,28.33454771,,,,
85,76.44444444,6,316.7911519,324.2862665,0.615733417,313.7959934,0.683389887,25.18958844,,,,
86,76.40555556,5,293.5763164,324.2862665,0.615733417,313.6363588,0.614524678,28.41504051,,,,
87,76.36666667,5,293,324.2862665,0.615733417,313.4767242,0.615733417,28.76111112,,,,
88,76.32777778,5,376.268304,324.2862665,0.615733417,313.3170896,0.479471402,37.45084851,,,,
89,76.29537037,6,450.779856,324.2862665,0.615733417,313.1840608,0.480260745,37.81863437,,,,
90,76.26296296,6,573.3968253,324.2862665,0.615733417,313.051032,0.377560286,48.65183354,,,,
91,76.23865741,8,573.7804953,324.2862665,0.615733417,312.9512604,0.503077097,36.82069073,,,,
92,76.21435185,8,573.5196803,324.2862665,0.615733417,312.8514888,0.503305878,37.11121417,,,,
93,76.1900463,8,573.7663625,324.2862665,0.615733417,312.7517171,0.503089489,37.43456908,,,,
94,76.16574074,8,420.078779,324.2862665,0.615733417,312.6519455,0.687146889,27.63249685,,,,
95,76.13796296,7,316.2679481,324.2862665,0.615733417,312.5379208,0.79860716,23.99718347,,,,
96,76.10555556,6,293.7920969,324.2862665,0.615733417,312.404892,0.736887996,26.28692191,,,,
97,76.06666667,5,293,324.2862665,0.615733417,312.2452574,0.615733417,31.86111112,,,,
98,76.02777778,5,376.306117,324.2862665,0.615733417,312.0856228,0.479423222,41.43600791,,,,
99,75.98888889,5,450.6116164,324.2862665,0.615733417,311.9259882,0.400366712,50.23598977,,,,
100,75.95648148,6,573.951584,324.2862665,0.615733417,311.7929594,0.377195352,53.86867215,,,,
101,75.92407407,6,573.5363191,324.2862665,0.615733417,311.6599306,0.377468457,54.37595385,,,,
102,75.89976852,8,573.9904871,324.2862665,0.615733417,311.560159,0.502893049,41.12177224,,,,
103,75.87546296,8,573.6942985,324.2862665,0.615733417,311.4603873,0.503152684,41.40790677,,,,
104,75.85115741,8,420.2735574,324.2862665,0.615733417,311.3606157,0.686828426,30.55951768,,,,
105,75.82685185,8,316.9663773,324.2862665,0.615733417,311.2608441,0.910682794,23.21751502,,,,
106,75.79907407,7,293.5586001,324.2862665,0.615733417,311.1468194,0.86038647,24.78017783,,,,
107,75.76666667,6,293,324.2862665,0.615733417,311.0137906,0.738880101,29.13425927,,,,
108,75.72777778,5,376.8576576,324.2862665,0.615733417,310.854156,0.478721575,45.4839706,,,,
109,75.69537037,6,450.9058913,324.2862665,0.615733417,310.7211272,0.480126505,45.78033601,,,,
110,75.66759259,7,573.2492815,324.2862665,0.615733417,310.6071024,0.440600374,50.28840717,,,,
111,75.63981481,7,573.4165822,324.2862665,0.615733417,310.4930777,0.440471824,50.70433134,,,,
112,75.61203704,7,573.0965488,324.2862665,0.615733417,310.379053,0.440717796,51.07705613,,,,
113,75.58773148,8,573.1441021,324.2862665,0.615733417,310.2792814,0.503635691,45.0031918,,,,
114,75.56342593,8,420.7557237,324.2862665,0.615733417,310.1795098,0.686041353,33.26309632,,,,
115,75.53912037,8,316.3788365,324.2862665,0.615733417,310.0797382,0.912374005,25.18101733,,,,
116,75.51481481,8,293.3147384,324.2862665,0.615733417,309.9799666,0.984116337,23.50245673,,,,
117,75.48703704,7,293,324.2862665,0.615733417,309.8659419,0.862026784,27.03615521,,,,
118,75.45462963,6,376.0782321,324.2862665,0.615733417,309.732913,0.575656475,40.84395054,,,,
119,75.41574074,5,450.8107382,324.2862665,0.615733417,309.5732784,0.400189871,59.37061362,,,,
120,75.38796296,7,573.0566576,324.2862665,0.615733417,309.4592537,0.440748475,54.30820045,,,,
121,75.36018519,7,573.8690598,324.2862665,0.615733417,309.345229,0.440124526,54.78675558,,,,
122,75.33240741,7,573.289065,324.2862665,0.615733417,309.2312043,0.440569798,55.13254244,,,,
123,75.30462963,7,573.9319612,324.2862665,0.615733417,309.1171796,0.440076289,55.59597733,,,,
124,75.27222222,6,420.9007489,324.2862665,0.615733417,308.9841508,0.514353729,47.96828468,,,,
125,75.23981481,6,316.8206894,324.2862665,0.615733417,308.851122,0.683326174,36.40847037,,,,
126,75.20092593,5,293.705729,324.2862665,0.615733417,308.6914874,0.614253906,40.90538803,,,,
127,75.16203704,5,293,324.2862665,0.615733417,308.5318528,0.615733417,41.20895061,,,,
128,75.12314815,5,376.4446282,324.2862665,0.615733417,308.3722182,0.479246821,53.46130739,,,,
129,75.09074074,6,450.7169747,324.2862665,0.615733417,308.2391894,0.480327748,53.77027743,,,,
130,75.06296296,7,573.0514016,324.2862665,0.615733417,308.1251647,0.440752517,58.99931039,,,,
131,75.03518519,7,573.5787429,324.2862665,0.615733417,308.01114,0.440347295,59.45496471,,,,
132,75.00740741,7,573.6882993,324.2862665,0.615733417,307.8971152,0.440263202,59.86775871,,,,
133,74.97962963,7,573.7491731,324.2862665,0.615733417,307.7830905,0.440216491,60.27559166,,,,
134,74.95185185,7,420.3501233,324.2862665,0.615733417,307.6690658,0.600865407,44.45429452,,,,
135,74.91296296,5,316.568434,324.2862665,0.615733417,307.5094312,0.569892231,47.30452511,,,,
136,74.88055556,6,293.0072959,324.2862665,0.615733417,307.3764024,0.738861703,36.76557597,,,,
137,74.84814815,6,293,324.2862665,0.615733417,307.2433736,0.738880101,37.04372427,,,,
138,74.82384259,8,376.6865779,324.2862665,0.615733417,307.143602,0.766302393,35.91991489,,,,
139,74.79953704,8,450.6662609,324.2862665,0.615733417,307.0438304,0.640509066,43.21587967,,,,
140,74.77523148,8,573.7800688,324.2862665,0.615733417,306.9440587,0.503077471,55.32907027,,,,
