Time,P1(bar),P2(bar),T,P1a,P2a,p1b,p2b,CEFNI,,,
159,74.175,6,450.553863,324.2862665,0.615733417,304.4801749,0.480501639,42.50105173,,,
160,74.15069444,8,573.109055,324.2862665,0.615733417,304.3804032,0.50366649,40.74441528,,,
161,74.12638889,8,573.5936686,324.2862665,0.615733417,304.2806316,0.503240956,40.97712638,,,
162,74.10208333,8,573.0535944,324.2862665,0.615733417,304.18086,0.503715235,41.13661533,,,
163,74.07777778,8,573.5358157,324.2862665,0.615733417,304.0810884,0.503291718,41.36946971,,,
164,74.05,7,420.3576605,324.2862665,0.615733417,303.9670637,0.600854633,34.84193188,,,
165,74.01759259,6,316.228917,324.2862665,0.615733417,303.8340349,0.684604911,30.77390284,,,
166,73.9787037,5,293.4458262,324.2862665,0.615733417,303.6744003,0.614797946,34.52776597,,,
167,73.93981481,5,293,324.2862665,0.615733417,303.5147657,0.615733417,34.7345679,,,
168,73.90740741,6,376.9252576,324.2862665,0.615733417,303.3817369,0.574362862,37.46806149,,,
169,73.87962963,7,450.1128154,324.2862665,0.615733417,303.2677121,0.56113454,38.5545465,,,
170,73.85532407,8,573.4065618,324.2862665,0.615733417,303.1679405,0.503405167,43.17408872,,,
171,73.83101852,8,573.2219922,324.2862665,0.615733417,303.0681689,0.503567257,43.35832141,,,
172,73.80671296,8,573.1113567,324.2862665,0.615733417,302.9683973,0.503664467,43.54804441,,,
173,73.77893519,7,573.5129891,324.2862665,0.615733417,302.8543726,0.440397781,50.0629845,,,
174,73.7400463,5,420.8641115,324.2862665,0.615733417,302.694738,0.42866542,51.80558268,,,
175,71,5,316.7865593,324.2862665,0.615733417,291.4471509,0.569499829,58.74426526,,,
176,71,5,293.5776512,324.2862665,0.615733417,291.4471509,0.614521884,54.44045181,,,
177,71,5,293,324.2862665,0.615733417,291.4471509,0.615733417,54.33333333,,,
178,71,5,293,324.2862665,0.615733417,291.4471509,0.615733417,54.33333333,,,
179,71,5,293,324.2862665,0.615733417,291.4471509,0.615733417,54.33333333,,,
180,71,5,293,324.2862665,0.615733417,291.4471509,0.615733417,54.33333333,,,
